Ejercicio,Mes,Titulo_Codigo,Titulo_Descripcion,CI_Clase_Codigo,CI_Clase_Descripcion,CI_Subclase_Codigo,CI_Subclase_Descripcion,CI_Grupo_Codigo,CI_Grupo_Descripcion,CI_Subgrupo_Codigo,CI_Subgrupo_Descripcion,CI_Partida_Codigo,CI_Partida_Descripcion,CI_Subpartida_Codigo,CI_Subpartida_Descripcion,CI_Renglon_Codigo,CI_Renglon_Descripcion,CI_Subrenglon_Codigo,CI_Subrenglon_Descripcion,CI_Fuente_Codigo,CI_Fuente_Descripcion,FF_Codigo,FF_Descripcion,FF_Clase2,PI_Monto,PP_Monto,DE_Monto,PA_Monto
2024,09,206,Ministerio de Hacienda,1,INGRESOS CORRIENTES,11,INGRESOS TRIBUTARIOS,111,IMPUESTOS A LOS INGRESOS Y UTILIDADES,1111,IMPUESTO SOBRE LOS INGRESOS Y UTILIDADES DE PERSON AS FÍSICAS,111102,Impuesto sobre salarios jubilaciones pensiones y otros pagos laborales del Se,11110201,Impuesto sobre salarios jubilaciones pensiones y otros pagos laborales del Se,111102010,Impuesto sobre salarios jubilaciones pensiones y otros pagos laborales del Se,1111020100,Impuesto sobre salarios jubilaciones pensiones y otros pagos laborales del Se,1111020100001,Impuesto sobre salarios jubilaciones pensiones y otros pagos laborales del Se,001,Ingresos Corrientes,INTERNO,         389084072934.00,         389084072934.00,         290720964359.00,         290720964359.00
2024,10,206,Ministerio de Hacienda,1,INGRESOS CORRIENTES,11,INGRESOS TRIBUTARIOS,111,IMPUESTOS A LOS INGRESOS Y UTILIDADES,1111,IMPUESTO SOBRE LOS INGRESOS Y UTILIDADES DE PERSON AS FÍSICAS,111102,Impuesto sobre salarios jubilaciones pensiones y otros pagos laborales del Se,11110201,Impuesto sobre salarios jubilaciones pensiones y otros pagos laborales del Se,111102010,Impuesto sobre salarios jubilaciones pensiones y otros pagos laborales del Se,1111020100,Impuesto sobre salarios jubilaciones pensiones y otros pagos laborales del Se,1111020100001,Impuesto sobre salarios jubilaciones pensiones y otros pagos laborales del Se,001,Ingresos Corrientes,INTERNO,         389084072934.00,         389084072934.00,         323525942284.00,         323525942284.00
2024,11,206,Ministerio de Hacienda,1,INGRESOS CORRIENTES,11,INGRESOS TRIBUTARIOS,111,IMPUESTOS A LOS INGRESOS Y UTILIDADES,1111,IMPUESTO SOBRE LOS INGRESOS Y UTILIDADES DE PERSON AS FÍSICAS,111102,Impuesto sobre salarios jubilaciones pensiones y otros pagos laborales del Se,11110201,Impuesto sobre salarios jubilaciones pensiones y otros pagos laborales del Se,111102010,Impuesto sobre salarios jubilaciones pensiones y otros pagos laborales del Se,1111020100,Impuesto sobre salarios jubilaciones pensiones y otros pagos laborales del Se,1111020100001,Impuesto sobre salarios jubilaciones pensiones y otros pagos laborales del Se,001,Ingresos Corrientes,INTERNO,         389084072934.00,         393408000000.00,         352462835884.00,         352462835884.00
2024,12,206,Ministerio de Hacienda,1,INGRESOS CORRIENTES,11,INGRESOS TRIBUTARIOS,111,IMPUESTOS A LOS INGRESOS Y UTILIDADES,1111,IMPUESTO SOBRE LOS INGRESOS Y UTILIDADES DE PERSON AS FÍSICAS,111102,Impuesto sobre salarios jubilaciones pensiones y otros pagos laborales del Se,11110201,Impuesto sobre salarios jubilaciones pensiones y otros pagos laborales del Se,111102010,Impuesto sobre salarios jubilaciones pensiones y otros pagos laborales del Se,1111020100,Impuesto sobre salarios jubilaciones pensiones y otros pagos laborales del Se,1111020100001,Impuesto sobre salarios jubilaciones pensiones y otros pagos laborales del Se,001,Ingresos Corrientes,INTERNO,         389084072934.00,         393408000000.00,         384362696228.00,         384362696228.00
2024,01,206,Ministerio de Hacienda,1,INGRESOS CORRIENTES,11,INGRESOS TRIBUTARIOS,111,IMPUESTOS A LOS INGRESOS Y UTILIDADES,1111,IMPUESTO SOBRE LOS INGRESOS Y UTILIDADES DE PERSON AS FÍSICAS,111103,Impuesto sobre los ingresos y utilidades de person as físicas,11110301,Impuesto sobre los ingresos y utilidades de person as físicas,111103010,Impuesto sobre los ingresos y utilidades de person as físicas,1111030100,Impuesto sobre los ingresos y utilidades de person as físicas,1111030100001,Impuesto sobre los ingresos y utilidades de person as físicas,001,Ingresos Corrientes,INTERNO,          64158752498.00,          64158752498.00,           4126348057.00,           4126348057.00
2024,02,206,Ministerio de Hacienda,1,INGRESOS CORRIENTES,11,INGRESOS TRIBUTARIOS,111,IMPUESTOS A LOS INGRESOS Y UTILIDADES,1111,IMPUESTO SOBRE LOS INGRESOS Y UTILIDADES DE PERSON AS FÍSICAS,111103,Impuesto sobre los ingresos y utilidades de person as físicas,11110301,Impuesto sobre los ingresos y utilidades de person as físicas,111103010,Impuesto sobre los ingresos y utilidades de person as físicas,1111030100,Impuesto sobre los ingresos y utilidades de person as físicas,1111030100001,Impuesto sobre los ingresos y utilidades de person as físicas,001,Ingresos Corrientes,INTERNO,          64158752498.00,          64158752498.00,           7165920684.87,           7165920684.87
2024,03,206,Ministerio de Hacienda,1,INGRESOS CORRIENTES,11,INGRESOS TRIBUTARIOS,111,IMPUESTOS A LOS INGRESOS Y UTILIDADES,1111,IMPUESTO SOBRE LOS INGRESOS Y UTILIDADES DE PERSON AS FÍSICAS,111103,Impuesto sobre los ingresos y utilidades de person as físicas,11110301,Impuesto sobre los ingresos y utilidades de person as físicas,111103010,Impuesto sobre los ingresos y utilidades de person as físicas,1111030100,Impuesto sobre los ingresos y utilidades de person as físicas,1111030100001,Impuesto sobre los ingresos y utilidades de person as físicas,001,Ingresos Corrientes,INTERNO,          64158752498.00,          64158752498.00,          20917010993.30,          20917010993.30
2024,04,206,Ministerio de Hacienda,1,INGRESOS CORRIENTES,11,INGRESOS TRIBUTARIOS,111,IMPUESTOS A LOS INGRESOS Y UTILIDADES,1111,IMPUESTO SOBRE LOS INGRESOS Y UTILIDADES DE PERSON AS FÍSICAS,111103,Impuesto sobre los ingresos y utilidades de person as físicas,11110301,Impuesto sobre los ingresos y utilidades de person as físicas,111103010,Impuesto sobre los ingresos y utilidades de person as físicas,1111030100,Impuesto sobre los ingresos y utilidades de person as físicas,1111030100001,Impuesto sobre los ingresos y utilidades de person as físicas,001,Ingresos Corrientes,INTERNO,          64158752498.00,          64158752498.00,          24432502475.95,          24432502475.95
2024,05,206,Ministerio de Hacienda,1,INGRESOS CORRIENTES,11,INGRESOS TRIBUTARIOS,111,IMPUESTOS A LOS INGRESOS Y UTILIDADES,1111,IMPUESTO SOBRE LOS INGRESOS Y UTILIDADES DE PERSON AS FÍSICAS,111103,Impuesto sobre los ingresos y utilidades de person as físicas,11110301,Impuesto sobre los ingresos y utilidades de person as físicas,111103010,Impuesto sobre los ingresos y utilidades de person as físicas,1111030100,Impuesto sobre los ingresos y utilidades de person as físicas,1111030100001,Impuesto sobre los ingresos y utilidades de person as físicas,001,Ingresos Corrientes,INTERNO,          64158752498.00,          64158752498.00,          26051894720.52,          26051894720.52
2024,06,206,Ministerio de Hacienda,1,INGRESOS CORRIENTES,11,INGRESOS TRIBUTARIOS,111,IMPUESTOS A LOS INGRESOS Y UTILIDADES,1111,IMPUESTO SOBRE LOS INGRESOS Y UTILIDADES DE PERSON AS FÍSICAS,111103,Impuesto sobre los ingresos y utilidades de person as físicas,11110301,Impuesto sobre los ingresos y utilidades de person as físicas,111103010,Impuesto sobre los ingresos y utilidades de person as físicas,1111030100,Impuesto sobre los ingresos y utilidades de person as físicas,1111030100001,Impuesto sobre los ingresos y utilidades de person as físicas,001,Ingresos Corrientes,INTERNO,          64158752498.00,          64158752498.00,          31042080677.89,          31042080677.89
